Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan Location,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image,Bottles in cellar
Georg Mosbacher,Ungeheuer GG,2017,Pfalz,Germany,German Riesling,4.4,2019-04-06 10:10,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/157515833,https://images.vivino.com/labels/jGeeEbZoR_y1MCdQQ3XmPQ.jpg,2
Georg Mosbacher,Pechstein GG,2017,Pfalz,Germany,German Riesling,4.3,2019-04-06 10:10,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/152422672,https://images.vivino.com/labels/NyQR_HhIQGylW33C_mBXOA.jpg,1
Domaine Borgeot,Santenay 1er Cru 'Clos des Beauregards',2014,Santenay 1er Cru 'Beauregard',France,Burgundy Côte de Beaune White,4.0,2019-03-29 18:06,"",Not given,Unknown,"","",White Wine,"","Pasta, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese, Cured Meat",https://www.vivino.com/wines/157800179,https://images.vivino.com/labels/Qkm379HPSAuBm4OGEQSY5A.jpg,1
Tenuta San Guido,Sassicaia,2015,Bolgheri Sassicaia,Italy,Italian Bolgheri,4.6,2019-03-06 16:04,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Veal, Game (deer, venison)",https://www.vivino.com/wines/14154429,"",1
Tarlant,Zero Brut Nature Champagne,N.V.,Champagne,France,French Champagne,3.9,2019-03-04 19:07,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/2191765,https://images.vivino.com/labels/Pgdx3zNaSIKcTjpUPchAnw.jpg,1
Château Montrose,Saint-Estèphe (Grand Cru Classé),2015,Saint-Estèphe,France,Bordeaux Saint-Estèphe,4.3,2019-03-01 17:05,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/19547944,https://images.vivino.com/labels/Uq6BpNaMTLiU6BRTEL8nPQ.jpg,1
W. & J. Graham's,Quinta dos Malvedos Vintage Port,2005,Single Quinta Vintage Port (SQVP),Portugal,Portuguese Port,4.1,2019-02-14 16:04,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/16704227,https://images.vivino.com/labels/dhmSwQaNSBuAE997E-tx-g.jpg,1
Occhipinti,Il Frappato Sicilia,2016,Terre Siciliane,Italy,Southern Italy Red,4.1,2019-02-14 16:04,"",4.0,Unknown,"Veldig fruktig. Røde bær med litt krydder. Lette tanniner. God konsentrasjon.

90p","",Red Wine,"","Beef, Pasta, Lamb",https://www.vivino.com/wines/89961366,https://images.vivino.com/labels/E9h874zIQdSLVz3d4mvy8g.jpg,1
Bodegas Ximénez-Spínola,Original Exceptional Harvest,2015,Jerez-Xérès-Sherry,Spain,Spanish Sherry,4.1,2019-02-01 17:05,"",Not given,Unknown,"","",Fortified Wine,"","Sweet desserts, Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/17742798,https://images.vivino.com/labels/IXIH2w6oSaaNY3Y6SrGQSg.jpg,1
Dom Pérignon,Brut Champagne,2008,Champagne,France,French Champagne,4.5,2019-01-21 21:09,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/3439818,https://images.vivino.com/labels/ZK-8WKFoTv2r5-dYU9J7sQ.jpg,2
Antonio Bernardino Paulo da Silva,Colares Chitas Tinto,1999,Colares,Portugal,Southern Portugal Red,3.7,2019-01-18 22:10,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/15752053,https://images.vivino.com/labels/5_vyM_nmT8qmUqHGyEqz_Q.jpg,1
Domaine de la Janasse,Châteauneuf-du-Pape Vieilles Vignes,2016,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.1,2019-01-18 22:10,"",Not given,Unknown,"","",Red Wine,"","Lamb, Pork, Poultry",https://www.vivino.com/wines/146752583,https://images.vivino.com/labels/_377E1ZdRv2sb4HyZXaXvg.jpg,2
Hirsch Vineyards,San Andreas Fault Pinot Noir,2016,Sonoma Coast,United States,Californian Pinot Noir,4.2,2019-01-12 14:02,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/135347308,https://images.vivino.com/labels/J-uFfbzYQou9mKrD9PFEtw.jpg,2
Diebolt - Vallois,Fleur de Passion Brut Champagne Grand Cru 'Cramant',2008,Champagne Grand Cru 'Cramant',France,French Champagne,4.3,2018-12-31 16:04,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/1299991,https://images.vivino.com/labels/croZHVFmTgefgmeoFfiLDQ.jpg,3
Riveyrac,Rivesaltes (Vin Doux Naturel),1975,Rivesaltes,France,,4.4,2018-12-31 16:04,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese",https://www.vivino.com/wines/24767741,https://images.vivino.com/labels/xLg5W5kTQIG2goONWWvf4Q.jpg,1
Clos des Brusquieres,Châteauneuf-du-Pape,2015,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2018-12-31 16:04,"",Not given,Unknown,"","",Red Wine,"","Lamb, Pork, Poultry",https://www.vivino.com/wines/14507083,https://images.vivino.com/labels/pbeGHog9TzqSVsIU25UV8A.jpg,2
Produttori del Barbaresco,Nebbiolo Langhe,2017,Langhe,Italy,Italian Nebbiolo,3.7,2018-12-31 15:03,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/150428410,https://images.vivino.com/labels/kirzuTBiT9SKA_wZpBPupA.jpg,1
Meritxell Pallejà,Nita Priorat,2016,Priorat,Spain,Spanish Priorat Red,3.7,2018-12-31 15:03,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/87626656,"",1
Kopke,Colheita Port,1985,Colheita Port,Portugal,Portuguese Port,4.1,2018-12-24 16:04,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/3051170,https://images.vivino.com/labels/slHUKJ35T6y6eFJlGljhug.jpg,1
Tyler,Pinot Noir,2016,Sta. Rita Hills,United States,Californian Pinot Noir,4.0,2018-12-09 17:05,"",4.0,Unknown,"Fin Pinot Noir fra California. Trengte overraskende nok litt luft for å skinne. Drukket til pasta med med steinsopp og parmesan.

Synes overraskende at den var bedre etter 2 dager i kjøleskap med kork. 

Fruktig med bra syre. Bringebær, jordbær. Krydret utgang etter syren - nesten sterk.

Fin årgang, men ikke den beste QPRen. ","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/146341249,https://images.vivino.com/labels/y1tcIsnoSGmwgUlM03caag.jpg,1
Col d'Orcia,Brunello di Montalcino,2013,Brunello di Montalcino,Italy,Italian Brunello,4.1,2018-12-09 17:05,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/2346157,https://images.vivino.com/labels/LVvJAlQkTha9DhoDLx9VPw.jpg,1
Quinta do Noval,Silval Vintage Port,2001,Vintage Port,Portugal,Portuguese Port,4.1,2018-11-21 17:05,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/13751865,https://images.vivino.com/labels/v0OOQweiRrmLNGg4zeXksA.jpg,1
Quinta do Noval,20 Year Old Tawny Port,,Aged Tawny Port,Portugal,Portuguese Port,4.2,2018-11-21 17:05,"",Not given,Unknown,"","",Fortified Wine,"","Beef, Sweet desserts, Blue cheese",https://www.vivino.com/wines/1466866,"",1
Sandhi,Santa Barbara County Chardonnay,2015,Santa Barbara County,United States,Californian Chardonnay,4.1,2018-11-10 16:04,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/96450569,https://images.vivino.com/labels/x4BRVixqREmiPBmVAWKhQg.jpg,1
Keller,Riesling Hubacker GG,2017,Rheinhessen,Germany,German Riesling,4.3,2018-11-10 09:09,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/152671898,https://images.vivino.com/labels/tGuntBOFSbC24na3IU7OMQ.jpg,2
Brovia,Rocche di Castiglione Barolo,2013,Barolo,Italy,Italian Barolo,4.2,2018-11-10 09:09,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/2941289,https://images.vivino.com/labels/lAQsTKE4Q9e8mALbbUtSxQ.jpg,2
